90: 0x2D2AF322
134: 0x0B6A130E
167: 0xBF515809
222: 0x871C25A6
244: 0x38523474
259: 0x657ED7B5
285: 0x5A35415F
287: 0x4EC77161
313: 0x21E6016B
338: 0xA8C5B4DA
390: 0x16BA3C0E
414: 0x0002EC66
502: 0x3851AFFE
738: 0x2D06E9EA
794: 0xF7B93FE2
932: 0x8717C124
969: 0x5A034FBB
1046: 0x8720071E
1089: 0x709530D3
1143: 0x385CB819
1152: 0x871C2220
1242: 0x9D92D3A2
1250: 0x4EFD1BEA
1298: 0x9273029A
1305: 0x9DBE85CB
1350: 0xD5CC75CE
1351: 0xBF474D29
1363: 0x2D0E6145
1417: 0xA8F9EA7B
1446: 0x6541AD2E
1447: 0xBF4F2109
1455: 0xCA9ACF31
1518: 0x0B77ED36
1520: 0xCA8D4290
1531: 0xEC40C60D
1585: 0x43917F03
1627: 0x87165FED
1628: 0xB40F6E5C
1633: 0xA8D57E73
1661: 0x87394F3F
1784: 0xCA874B98
1898: 0xBF72B3B2
1928: 0x4ED26F28
1930: 0x7BFC22D2
1932: 0x9DBF178C
2006: 0x2D11B0DE
2023: 0x7BD2A849
2079: 0x2D3BC461
2102: 0xD5E3403E
2119: 0xBF56AC29
2135: 0x9DA9AD79
2168: 0x7092A518
2169: 0x654DFBAB
2183: 0xEC786969
2202: 0x00289962
2299: 0xCA9A550D
2343: 0x9D817A89
2355: 0xA8D310A5
2587: 0xA8C092AD
2667: 0xD5F4EE3D
2678: 0x924D6C7E
2718: 0xB42BBD66
2767: 0x387452D1
2942: 0x873E7D46
2961: 0x654CC2E3
2979: 0x2D39C8D5
2987: 0x2D21247D
2989: 0x2D23A4AF
2996: 0x2D177F34
3074: 0x924E360A
3089: 0x2D2E1163
3106: 0x1697B12A
3107: 0x870D9B55
3227: 0x7BFD9F2D
3407: 0x65590751
3414: 0x16A6F25E
3437: 0x3846CB6F
3445: 0xB404A057
3461: 0xCAAC0927
3495: 0x000EC909
3527: 0x4EEFAFA9
3562: 0x5A242632
3576: 0x9DA14298
3597: 0x21F2438F
3621: 0x7BE9AD47
3670: 0x5A365B5E
3705: 0xBF7869AB
3729: 0x21FF99E3
3734: 0xB434D59E
3916: 0xEC43074C
3970: 0xE1274D8A
3975: 0xB4389C69
3983: 0xE10C5691
4021: 0xD5EF1597
4043: 0x2D0FE91D
4062: 0x2D372CA6
4199: 0x0B5F4AC9
4280: 0x70AAF158
4375: 0x926FBD39
4376: 0x38514FB8
4420: 0x438E7EC4
4429: 0x0B453DCF
4450: 0x9D8A546A
4461: 0xB413FF6F
4473: 0x9D9BA0AB
4479: 0x16BA0941
4495: 0x5A0A8091
4503: 0x656197B9
4533: 0xA8E0EF97
4534: 0x169065BE
4538: 0x5A34E182
4740: 0x7BC59004
4772: 0xF7AF9024
4831: 0x000CF621
4874: 0xB41F7252
4919: 0xCAB0E5D9
4942: 0x926D5596
4980: 0xB43C86F4
5055: 0xEC544881
5083: 0xBF46236D
5171: 0xE13FE7A5
5247: 0x9DBF8841
5297: 0x8736A383
5309: 0xD5FCC87F
5347: 0x4EFCDF15
5387: 0xCAA0935D
5393: 0xD5FC9663
5400: 0xD5F593B8
5416: 0x0B6516C8
5420: 0x9264992C
5447: 0x000E9D29
5525: 0xE13AADF7
5589: 0x8719E937
5607: 0xCAB00E49
5708: 0x0B4C2E4C
5710: 0x43AF3096
5719: 0xEC6D9379
5727: 0x7BE71FA1
5757: 0x00021F3F
5768: 0x7BFCAE28
5791: 0x386514E1
5848: 0x21F09178
5854: 0x9259EBA6
5881: 0x43AFB02B
5887: 0x43819CC1
5896: 0x657196A8
5928: 0x655BB8C8
5933: 0x4EDD9A2F
6051: 0x9D9984D5
6056: 0x5A27E148
6059: 0x5A3C607D
6315: 0xA8D0A57D
6344: 0x168BA468
6347: 0x16B0D61D
6496: 0xE1317900
6500: 0x8700E6E4
6505: 0x7BCD76DB
6515: 0x16B9F9E5
6542: 0x2D1A7DD6
6550: 0xF7A1589E
6561: 0x438FFCB3
6607: 0xEC4B8DD1
6637: 0x9D968DEF
6680: 0x438CE8B8
6682: 0x16B89EE2
6735: 0x92721851
6742: 0x9DA7475E
6802: 0xBF503C1A
6833: 0x38775183
6859: 0xCA82601D
6885: 0x0B6EAB07
7008: 0x9D8FDB00
7058: 0xA8C0151A
7132: 0xF797B3DC
7186: 0x70B9819A
7239: 0x439FD029
7283: 0xA8EEA8E5
7303: 0x70858D69
7321: 0x385D9F4B
7494: 0x4EE84DCE
7505: 0x70B505A3
7627: 0x6542AF1D
7751: 0x5A38BA29
7839: 0xB417BCE1
7876: 0xCAAD2C44
7903: 0xE114F221
8112: 0xB4390050
8127: 0x5A1E4481
8135: 0xD5CBE9A9
8136: 0xCABA5B68
8156: 0x654837DC
8225: 0x385B1933
8250: 0x16B63C02
8314: 0x7BD7FA42
8467: 0x5A167405
8477: 0xBF56E15F
8482: 0x8717BE2A
8698: 0x2D0FAFC2
8714: 0xD5CB4952
8840: 0x38667A28
9076: 0xCAB496F4
9085: 0x927F483F
9129: 0x7091181B
9192: 0xCAAF2188
9220: 0x4382C184
9260: 0x43B1482C
9266: 0x4392CCBA
9318: 0xA8C699EE
9354: 0xB43A17D2
9360: 0x7BDE2F30
9562: 0xB43EF022
9592: 0xB40F1218
9610: 0x6573D0D2
9691: 0xA8C67D6D
9791: 0x438A2D01
9823: 0x927C6FA1
9834: 0x70A89AB2
9841: 0x5A124643
9848: 0x7BC7A318
9870: 0xBF4632D6
9871: 0x7BE53991
9895: 0xE10FB609
9903: 0x87390431
9913: 0x709630EB
9972: 0x5A1B5A74
9983: 0xCA9EECC1
10001: 0x2D15A063
10090: 0xD5D9D3B2
10097: 0x16836343
10112: 0xD5DF5520
10206: 0x654C04A6
10289: 0xCA815903
10408: 0x38404248
10555: 0xEC72364D
10569: 0x21F15F3B
10591: 0x5A226EA1
10704: 0x21F68070
10741: 0x925902D7
10755: 0x7BF0C4B5
10764: 0x16B5EA0C
10797: 0x7BF7512F
10818: 0xA8DF2A4A
10860: 0xE11A866C
10937: 0xCA8124EB
11007: 0x168640C1
11033: 0x0B5B93CB
11049: 0x7BF0C19B
11052: 0xCA86EF2C
11057: 0x9259B003
11064: 0xE135F3D8
11091: 0x87315F45
11098: 0xD5E8C622
11138: 0x7BD4098A
11180: 0xCA951FAC
11265: 0xCAB18193
11295: 0xF7B7B861
11332: 0x870CD9C4
11346: 0x16B427DA
11384: 0x7BCF0918
11385: 0xEC7C8FAB
11405: 0xE11AB00F
11414: 0xCA85239E
11460: 0x9DA3BA44
11468: 0x21EBF4CC
11540: 0xA8FF5894
11586: 0x21EEF54A
11675: 0xEC6B442D
11735: 0x870130F9
11788: 0x16816E0C
11862: 0x38637B5E
11907: 0x2D22EB35
11936: 0x00316A40
12015: 0x870AB171
12044: 0x384E4F0C
12085: 0x9254BF17
12107: 0x871EA69D
12202: 0xBF5489F2
12229: 0x8703EE67
12261: 0x3846DC07
12287: 0x2D1969C1
12318: 0xCA9D4EE6
12353: 0x7BE92CD3
12467: 0x4EFF6625
12501: 0xA8EC6837
12526: 0xD5D8B036
12548: 0x70AD8E84
12565: 0xB42FE377
12567: 0xBF465D39
12575: 0xEC576161
12636: 0x2D20F95C
12680: 0x9244B928
12683: 0x9D8981DD
12684: 0x870C018C
12700: 0xD5ECA19C
12715: 0x924F627D
12716: 0x657D65AC
12730: 0x21C40182
12755: 0x001F6FC5
12782: 0xA8EE7936
12804: 0xF78F4F84
12862: 0x43BE7A06
12888: 0xA8D6E4F8
12910: 0xA8E2DDB6
12912: 0xE116E710
12950: 0x43AB999E
12954: 0x4EFF7362
12956: 0x43B1C29C
13008: 0x925EF970
13015: 0xCAAFB9F9
13072: 0xE132D5B0
13076: 0x00335E94
13309: 0x168ADEBF
13311: 0x6550BDC1
13389: 0xA8EB44CF
13412: 0x2D28C1E4
13427: 0x926420E5
13491: 0xEC66FA25
13552: 0xBF490190
13605: 0xBF550847
13767: 0x9271F7A9
13772: 0x655ADDCC
13800: 0x8710D388
13821: 0x7BE7F8BF
13879: 0x4EC924D9
13885: 0x65733BFF
13951: 0x0001D241
13956: 0xF7B4B404
13994: 0x9DA418F2
14063: 0x709F5971
14093: 0x4ED4188F
14181: 0xCAAC6D87
14258: 0xBF68143A
14298: 0xCABE6EA2
14315: 0x873D31BD
14402: 0xB407884A
14431: 0x708C69A1
14436: 0x16ADC5E4
14448: 0x438F8D10
14455: 0x709F7C19
14481: 0xE11B5BE3
14725: 0x654FC527
14826: 0x1689F232
14945: 0x92666273
14968: 0x873AF718
14986: 0x654BFDD2
14993: 0x000695E3
15054: 0xD5C69916
15063: 0x43BD61F9
15160: 0x9D8F03D8
15202: 0xEC606E6A
15280: 0xD5FD5C50
15286: 0x655A9FBE
15447: 0xEC7A7179
15491: 0x7BCCF135
15496: 0x0B43B428
15504: 0xB40CC730
15535: 0x2D1BD231
15556: 0x2D0FCA44
15596: 0x7BFE08EC
15614: 0x655FBAC6
15624: 0x9DA49CA8
15679: 0xBF6D5001
15723: 0x6577AD3D
15818: 0xD5D03712
15830: 0xCA89D6DE
15850: 0xCA9ED632
15947: 0xE11E319D
15956: 0xD5F609D4
15962: 0xCAA34122
15971: 0x70829E95
16007: 0x4EC71769
16032: 0x43B47A40
16079: 0x656896D1
16102: 0x0B79186E
16151: 0x21CC4339
16163: 0x7BD47A55
16253: 0x0B6EB43F
16255: 0x00324F41
16282: 0x7BE11862
16309: 0x4EDB8597
16327: 0x439A89A9
16466: 0x7BF51BDA
16501: 0x7BD2D757
16504: 0x5A225D18
16528: 0xD5F48B30
16550: 0x0B48A02E
16565: 0xCAAA7297
16575: 0x7BFBB981
16642: 0xA8F6E30A
16684: 0xCAB9452C
16693: 0x43A16917
16732: 0x21C3095C
16748: 0xCA9D3D6C
16791: 0x9D8387B9
16824: 0x2D13B258
16932: 0xA8D31FA4
16940: 0x0036A62C
16987: 0x0B7F8BED
17029: 0x92505A27
17116: 0x870ABADC
17120: 0x65426A80
17130: 0xA8D2F332
17137: 0x001780C3
17147: 0xBF5C770D
17416: 0x0B5253A8
17425: 0xEC586963
17531: 0xA8E4BE8D
17535: 0x70B77841
17544: 0xB40A3C28
17590: 0xE132D0BE
17626: 0x7BD113A2
17643: 0x8705B2BD
17701: 0x002FD847
17708: 0xF786C92C
17770: 0x386281B2
17771: 0x8721D53D
17785: 0xF7B604AB
17931: 0x8701485D
17969: 0xB418BF03
18049: 0x9260A213
18073: 0xA8DFA14B
18091: 0x5A090B7D
18098: 0x708D4B3A
18138: 0xA8CB05A2
18257: 0x6576C7A3
18322: 0x0B71611A
18325: 0x169BF7F7
18376: 0xEC630368
18426: 0xB437A5C2
18510: 0xB4177296
18525: 0x3849BF9F
18551: 0x4382CC19
18600: 0x4EEA6248
18633: 0xCABC80BB
18643: 0x4EC682C5
18729: 0x4EE1679B
18742: 0x9DB0693E
18768: 0xE131A7F0
18816: 0x4EFCD720
18842: 0x3850D262
18994: 0xB42002BA
19010: 0x0B724A4A
19055: 0xCAB832F1
19100: 0x385CDA9C
19137: 0xE134CD53
19144: 0xF78E7668
19231: 0xF7980361
19303: 0x2D23C1C9
19397: 0x0000DA67
19411: 0x3869B1C5
19429: 0x5A29C807
19432: 0xEC4BC988
19486: 0x439C4AE6
19559: 0x43A0B6C9
19573: 0x43A1F357
19620: 0x21EA4A24
19646: 0x387C6886
19686: 0xD5FC566E
19746: 0x387C0A2A
19763: 0x001BE4A5
19777: 0xE10CB5D3
19792: 0x00056BF0
19857: 0x43973CE3
20052: 0x7BE619D4
20108: 0xE11F7E8C
20135: 0xA8EDFE09
20160: 0x92735860
20257: 0x9DB5AC33
20291: 0xF78246F5
20305: 0xE13BAFA3
20324: 0x92549CE4
20535: 0x70A086D9
20655: 0x000B7631
20675: 0x4EC77E75
20741: 0x21CFE6A7
20785: 0xEC69FE03
20832: 0x5A243100
20847: 0x70BE45F1
20848: 0x43B99610
20913: 0x7BEB8C83
20921: 0xCAB5EFEB
20947: 0xF7AC0FC5
20958: 0x70987EA6
20967: 0x0B797A49
21070: 0xD5DC4C96
21090: 0xB403AD6A
21105: 0x926B4243
21142: 0xD5F8B99E
21169: 0x2D1DA983
21170: 0x9D99773A
21184: 0x43A61C60
21209: 0xF7AB2C8B
21472: 0x7BC8AB80
21554: 0x0B637CBA
21575: 0x65796829
21739: 0xF7BA02BD
21775: 0x7BE90A11
21778: 0x7BE6D29A
21881: 0x6551D4AB
21907: 0xBF482A85
21908: 0x168D0114
21915: 0x2D040C2D
21961: 0xE12A59BB
21967: 0x873079D1
22073: 0x1692C26B
22075: 0x925A974D
22078: 0xB433BE06
22124: 0x21EB326C
22158: 0x9DB3E2D6
22162: 0x2D2F181A
22198: 0x656F32BE
22205: 0x43BB227F
22402: 0x655A558A
22405: 0x16830B27
22499: 0x43830E15
22557: 0x9DB2AC5F
22584: 0x439270D8
22671: 0x9D8F5391
22716: 0xD5DAD4BC
22729: 0x4EFC50BB
22741: 0x65757037
22820: 0x70A2F6A4
22897: 0x70B70D43
22916: 0x00101704
22944: 0xBF63A540
22982: 0xBF76FE4E
23094: 0x8715E23E
23112: 0x384B1DE8
23121: 0x0B546EA3
23128: 0xE1098CF8
23133: 0x2D26A99F
23151: 0x924182F1
23217: 0xBF7E9183
23303: 0x70951DE9
23314: 0x5A3DE89A
23327: 0x709D5361
23349: 0x00157B17
23381: 0x70BC80B7
23390: 0x2D069426
23466: 0x926E55F2
23574: 0xE1041F1E
23575: 0xBF70C439
23593: 0x2D35AE9B
23606: 0xB40FB43E
23647: 0xE11C5DA1
23703: 0xE1209EB9
23845: 0x4EF81047
23974: 0x0B6BC52E
24016: 0xEC5F7470
24096: 0xF79B01C0
24192: 0xEC705C20
24327: 0xD5D2F1E9
24357: 0xF7BB6A47
24399: 0x43B3C151
24420: 0xCAA8ACE4
24424: 0x5A017508
24587: 0xEC7F4A5D
24677: 0xD5EC2287
24776: 0xE10E6C68
24784: 0xA8EE4770
24790: 0xE11731DE
24828: 0xE105E4FC
24880: 0x386569D0
24896: 0xBF62A2E0
24929: 0x65750D73
24939: 0x0B55613D
24950: 0x926D9B7E
24971: 0x16BE71DD
25049: 0xD5E3BF8B
25074: 0x2D0D647A
25205: 0xE1005157
25207: 0xCA9C2E19
25219: 0x924A6F35
25303: 0xB401A9F9
25336: 0x21EB6798
25341: 0x8714C1BF
25407: 0x7BD8EE01
25613: 0x0009218F
25656: 0x38653CD8
25664: 0x0B60B5E0
25668: 0x709711C4
25673: 0xF784AE3B
25777: 0xEC7FB383
25826: 0x16A67BEA
25833: 0x70A4D45B
25843: 0xEC500365
25915: 0x9265624D
26172: 0x4ED4523C
26218: 0xEC76DAB2
26256: 0xD5C65130
26264: 0x9D94FD38
26303: 0xF7AB5781
26326: 0x4383A7DE
26361: 0x2D1AC02B
26423: 0xF7A649D9
26435: 0x9DADBEF5
26487: 0xEC753719
26496: 0x21CB9520
26650: 0x21C27CE2
26664: 0xF7B659C8
26735: 0xB401A8F1
26765: 0xF7A6BC0F
